Date,Value,Anomaly
189601,44,-1.3
189701,44,-1.3
189801,44.5,-0.8
189901,43.8,-1.5
190001,43.5,-1.8
190101,46.4,1.1
190201,45.7,0.4
190301,44.3,-1
190401,43.4,-1.9
190501,44.2,-1.1
190601,44.9,-0.4
190701,44,-1.3
190801,45.2,-0.1
190901,45,-0.3
191001,43.9,-1.4
191101,46.5,1.2
191201,44,-1.3
191301,43.5,-1.8
191401,45.5,0.2
191501,45,-0.3
191601,43.3,-2
191701,43.5,-1.8
191801,42.3,-3
191901,46.5,1.2
192001,44,-1.3
192101,44.9,-0.4
192201,46.5,1.2
192301,45.4,0.1
192401,44.2,-1.1
192501,43.5,-1.8
192601,46.2,0.9
192701,45.7,0.4
192801,44.1,-1.2
192901,44.2,-1.1
193001,42.7,-2.6
193101,47.5,2.2
193201,47.2,1.9
193301,45.3,0
193401,47.2,1.9
193501,48.4,3.1
193601,44.8,-0.5
193701,44.5,-0.8
193801,46,0.7
193901,47.4,2.1
194001,46.1,0.8
194101,46.9,1.6
194201,46.6,1.3
194301,44.7,-0.6
194401,46.4,1.1
194501,44.8,-0.5
194601,44.6,-0.7
194701,46.8,1.5
194801,45,-0.3
194901,44,-1.3
195001,44.7,-0.6
195101,43.7,-1.6
195201,42.3,-3
195301,46.3,1
195401,46.5,1.2
195501,47.4,2.1
195601,44.4,-0.9
195701,45.3,0
195801,46.2,0.9
195901,45,-0.3
196001,44.9,-0.4
196101,45.2,-0.1
196201,44.9,-0.4
196301,45,-0.3
196401,48.2,2.9
196501,45,-0.3
196601,43.9,-1.4
196701,45.7,0.4
196801,44.8,-0.5
196901,44.3,-1
197001,44.8,-0.5
197101,44.9,-0.4
197201,44.6,-0.7
197301,44.4,-0.9
197401,45.5,0.2
197501,46.6,1.3
197601,44.3,-1
197701,45.6,0.3
197801,46.2,0.9
197901,42.8,-2.5
198001,44.9,-0.4
198101,47.4,2.1
198201,46.5,1.2
198301,45.1,-0.2
198401,45.1,-0.2
198501,45,-0.3
198601,44.7,-0.6
198701,46.9,1.6
198801,47.5,2.2
198901,48,2.7
199001,45.3,0
199101,46.1,0.8
199201,48,2.7
199301,45.6,0.3
199401,43.7,-1.6
199501,46.8,1.5
199601,45.1,-0.2
199701,43.9,-1.4
199801,46.3,1
199901,47.8,2.5
200001,48.2,2.9
200101,46.8,1.5
200201,47.6,2.3
200301,46.4,1.1
200401,46.6,1.3
200501,46.9,1.6
200601,48.6,3.3
200701,47.4,2.1
200801,47.4,2.1
200901,45.3,0
201001,44.7,-0.6
201101,46,0.7
201201,46.5,1.2
201301,49.1,3.8
201401,45.7,0.4
201501,45.5,0.2
201601,48.2,2.9
201701,48.5,3.2
201801,47.9,2.6
201901,45.7,0.4
202001,44.4,-0.9
202101,47.7,2.4
202201,47.8,2.5
202301,46.3,1
202401,47.2,1.9
